Metric,Oracle_baseline,RiskAware_Scan5,RiskAware_Scan10,RiskAware_Scan15,RiskAware_Scan20,RiskAware_Scan25
Convergence episode,382.0,380.0,355.0,372.0,388.0,360.0
Final path length,176.0,168.0,177.0,170.0,171.0,177.0
Final path safety,11.97,11.91,11.07,11.83,11.06,10.82
Success% (last200),58.0,60.0,72.0,64.0,56.0,70.0
Total scans,0.0,431.0,401.0,417.0,441.0,673.0
Exploration entropy,14.55,14.51,14.44,14.5,14.54,14.46
