row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
59,185,4,3,3,3,0,0.619343,1,0.000000
59,185,4,3,3,3,1,0.000000,0,0.000000
59,185,4,3,3,3,2,0.000000,0,0.000000
59,185,4,3,3,3,3,0.000000,0,0.000000
59,185,4,3,3,3,4,0.000000,0,0.000000
59,185,4,3,3,3,5,0.000000,0,0.000000
59,185,4,3,3,3,6,0.000000,0,0.000000
59,185,4,3,3,3,7,0.000000,0,0.000000
59,185,6,4,3,4,0,0.619343,1,0.000000
59,185,6,4,3,4,1,0.000000,0,0.000000
59,185,6,4,3,4,2,0.000000,0,0.000000
59,185,6,4,3,4,3,0.000000,0,0.000000
59,185,6,4,3,4,4,0.000000,0,0.000000
59,185,6,4,3,4,5,0.000000,0,0.000000
59,185,6,4,3,4,6,0.000000,0,0.000000
59,185,6,4,3,4,7,0.000000,0,0.000000
59,186,3,3,4,3,6,0.811775,1,0.000000
59,189,3,3,4,3,0,0.137061,1,0.000000
59,189,3,3,4,3,1,0.000000,0,0.000000
59,189,3,3,4,3,2,0.000000,0,0.000000
59,189,3,3,4,3,3,0.000000,0,0.000000
59,189,3,3,4,3,4,0.000000,0,0.000000
59,189,3,3,4,3,5,0.000000,0,0.000000
59,189,3,3,4,3,6,0.000000,0,0.000000
59,189,3,3,4,3,7,0.000000,0,0.000000
59,190,3,3,4,3,0,0.076468,1,0.000000
59,190,3,3,4,3,1,0.000000,0,0.000000
59,190,3,3,4,3,2,0.000000,0,0.000000
59,190,3,3,4,3,3,0.000000,0,0.000000
59,190,3,3,4,3,4,0.000000,0,0.000000
59,190,3,3,4,3,5,0.000000,0,0.000000
59,190,3,3,4,3,6,0.000000,0,0.000000
59,190,3,3,4,3,7,0.000000,0,0.000000
59,190,5,3,3,4,0,0.076468,1,0.000000
59,190,5,3,3,4,1,0.000000,0,0.000000
59,190,5,3,3,4,2,0.000000,0,0.000000
59,190,5,3,3,4,3,0.000000,0,0.000000
59,190,5,3,3,4,4,0.000000,0,0.000000
59,190,5,3,3,4,5,0.000000,0,0.000000
59,190,5,3,3,4,6,0.000000,0,0.000000
59,190,5,3,3,4,7,0.000000,0,0.000000
59,191,4,3,3,3,0,0.027662,1,0.000000
59,191,4,3,3,3,1,0.000000,0,0.000000
59,191,4,3,3,3,2,0.000000,0,0.000000
59,191,4,3,3,3,3,0.000000,0,0.000000
59,191,4,3,3,3,4,0.000000,0,0.000000
59,191,4,3,3,3,5,0.000000,0,0.000000
59,191,4,3,3,3,6,0.000000,0,0.000000
59,191,4,3,3,3,7,0.000000,0,0.000000
59,191,6,4,3,4,0,0.027662,1,0.000000
59,191,6,4,3,4,1,0.000000,0,0.000000
59,191,6,4,3,4,2,0.000000,0,0.000000
59,191,6,4,3,4,3,0.000000,0,0.000000
59,191,6,4,3,4,4,0.000000,0,0.000000
59,191,6,4,3,4,5,0.000000,0,0.000000
59,191,6,4,3,4,6,0.000000,0,0.000000
59,191,6,4,3,4,7,0.000000,0,0.000000
59,192,3,3,4,3,6,1.125558,1,0.000000
59,194,3,3,4,2,0,-0.073933,1,0.000000
