row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
58,183,6,4,4,4,0,1.137325,1,0.000000
58,183,6,4,4,4,1,0.000000,0,0.000000
58,183,6,4,4,4,2,0.000000,0,0.000000
58,183,6,4,4,4,3,0.000000,0,0.000000
58,183,6,4,4,4,4,0.000000,0,0.000000
58,183,6,4,4,4,5,0.000000,0,0.000000
58,183,6,4,4,4,6,0.000000,0,0.000000
58,183,6,4,4,4,7,0.000000,0,0.000000
58,184,5,4,4,4,0,0.000000,0,0.000000
58,184,5,4,4,4,1,0.000000,0,0.000000
58,184,5,4,4,4,2,0.000000,0,0.000000
58,184,5,4,4,4,3,0.000000,0,0.000000
58,184,5,4,4,4,4,0.000000,0,0.000000
58,184,5,4,4,4,5,0.000000,0,0.000000
58,184,5,4,4,4,6,0.158449,1,0.000000
58,184,5,4,4,4,7,0.000000,0,0.000000
59,183,0,4,4,4,0,1.081935,1,0.000000
59,183,0,4,4,4,1,0.000000,0,0.000000
59,183,0,4,4,4,2,0.000000,0,0.000000
59,183,0,4,4,4,3,0.000000,0,0.000000
59,183,0,4,4,4,4,0.000000,0,0.000000
59,183,0,4,4,4,5,0.000000,0,0.000000
59,183,0,4,4,4,6,0.000000,0,0.000000
59,183,0,4,4,4,7,0.000000,0,0.000000
59,183,5,4,4,4,0,1.429623,1,0.000000
59,183,5,4,4,4,1,0.000000,0,0.000000
59,183,5,4,4,4,2,0.000000,0,0.000000
59,183,5,4,4,4,3,0.000000,0,0.000000
59,183,5,4,4,4,4,0.000000,0,0.000000
59,183,5,4,4,4,5,0.000000,0,0.000000
59,183,5,4,4,4,6,0.000000,0,0.000000
59,183,5,4,4,4,7,0.000000,0,0.000000
59,185,3,3,4,4,0,0.619343,1,0.000000
59,185,3,3,4,4,1,0.000000,0,0.000000
59,185,3,3,4,4,2,0.000000,0,0.000000
59,185,3,3,4,4,3,0.000000,0,0.000000
59,185,3,3,4,4,4,0.000000,0,0.000000
59,185,3,3,4,4,5,0.000000,0,0.000000
59,185,3,3,4,4,6,0.000000,0,0.000000
59,185,3,3,4,4,7,0.000000,0,0.000000
59,185,3,4,4,4,0,1.061111,1,0.000000
59,185,3,4,4,4,1,0.000000,0,0.000000
59,185,3,4,4,4,2,0.000000,0,0.000000
59,185,3,4,4,4,3,0.000000,0,0.000000
59,185,3,4,4,4,4,0.000000,0,0.000000
59,185,3,4,4,4,5,0.000000,0,0.000000
59,185,3,4,4,4,6,0.000000,0,0.000000
59,185,3,4,4,4,7,0.000000,0,0.000000
59,185,4,4,3,4,0,0.000000,0,0.000000
59,185,4,4,3,4,1,0.000000,0,0.000000
59,185,4,4,3,4,2,0.000000,0,0.000000
59,185,4,4,3,4,3,0.000000,0,0.000000
59,185,4,4,3,4,4,0.000000,0,0.000000
59,185,4,4,3,4,5,-0.767192,1,0.000000
59,185,4,4,3,4,6,0.000000,0,0.000000
59,185,4,4,3,4,7,0.000000,0,0.000000
59,191,3,4,4,4,0,0.027662,1,0.000000
59,191,3,4,4,4,1,0.000000,0,0.000000
59,191,3,4,4,4,2,0.000000,0,0.000000
59,191,3,4,4,4,3,0.000000,0,0.000000
59,191,3,4,4,4,4,0.000000,0,0.000000
59,191,3,4,4,4,5,0.000000,0,0.000000
59,191,3,4,4,4,6,0.000000,0,0.000000
59,191,3,4,4,4,7,0.000000,0,0.000000
60,182,6,4,4,4,0,1.200000,1,0.000000
60,182,6,4,4,4,1,0.000000,0,0.000000
60,182,6,4,4,4,2,0.000000,0,0.000000
60,182,6,4,4,4,3,0.000000,0,0.000000
60,182,6,4,4,4,4,0.000000,0,0.000000
60,182,6,4,4,4,5,0.000000,0,0.000000
60,182,6,4,4,4,6,0.000000,0,0.000000
60,182,6,4,4,4,7,0.000000,0,0.000000
60,183,0,4,4,4,0,311.852620,2,0.000000
60,183,0,4,4,4,1,0.000000,0,0.000000
60,183,0,4,4,4,2,0.000000,0,0.000000
60,183,0,4,4,4,3,0.000000,0,0.000000
60,183,0,4,4,4,4,0.000000,0,0.000000
60,183,0,4,4,4,5,0.000000,0,0.000000
60,183,0,4,4,4,6,0.000000,0,0.000000
60,183,0,4,4,4,7,0.000000,0,0.000000
60,183,4,4,3,4,0,0.000000,0,0.000000
60,183,4,4,3,4,1,0.000000,0,0.000000
60,183,4,4,3,4,2,0.000000,0,0.000000
60,183,4,4,3,4,3,0.000000,0,0.000000
60,183,4,4,3,4,4,0.000000,0,0.000000
60,183,4,4,3,4,5,0.000000,0,0.000000
60,183,4,4,3,4,6,-0.022291,1,0.000000
60,183,4,4,3,4,7,0.000000,0,0.000000
60,183,5,4,4,4,0,583.271987,4,0.000000
60,183,5,4,4,4,1,0.000000,0,0.000000
60,183,5,4,4,4,2,-1.347775,1,0.000000
60,183,5,4,4,4,3,0.000000,0,0.000000
60,183,5,4,4,4,4,0.000000,0,0.000000
60,183,5,4,4,4,5,0.000000,0,0.000000
60,183,5,4,4,4,6,0.000000,0,0.000000
60,183,5,4,4,4,7,0.000000,0,0.000000
60,183,6,4,4,4,0,733.384448,4,0.000000
60,183,6,4,4,4,1,0.000000,0,0.000000
60,183,6,4,4,4,2,0.000000,0,0.000000
60,183,6,4,4,4,3,0.000000,0,0.000000
60,183,6,4,4,4,4,0.000000,0,0.000000
60,183,6,4,4,4,5,0.000000,0,0.000000
60,183,6,4,4,4,6,0.000000,0,0.000000
60,183,6,4,4,4,7,0.000000,0,0.000000
60,184,2,4,4,3,0,0.547775,1,0.000000
60,184,2,4,4,3,1,0.000000,0,0.000000
