Algorithm,REWARD_COLLISION_OBSTACLE,MAX_RL_STEPS,Seed,Exploration_Entropy,Final_Greedy_Reward,Convergence_Episode,Final_Greedy_Path_Length
Q-Learning,-20.0,400,42,14.433,1374.7,367,133
SARSA,-20.0,400,42,14.5461,270.47,382,176
