row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
58,186,3,4,4,3,0,0.637674,1,0.000000
58,186,3,4,4,3,1,0.000000,0,0.000000
58,186,3,4,4,3,2,0.000000,0,0.000000
58,186,3,4,4,3,3,0.000000,0,0.000000
58,186,3,4,4,3,4,0.000000,0,0.000000
58,186,3,4,4,3,5,0.000000,0,0.000000
58,186,3,4,4,3,6,0.000000,0,0.000000
58,186,3,4,4,3,7,0.000000,0,0.000000
58,187,4,3,4,3,0,0.502098,1,0.000000
58,187,4,3,4,3,1,0.000000,0,0.000000
58,187,4,3,4,3,2,0.000000,0,0.000000
58,187,4,3,4,3,3,0.000000,0,0.000000
58,187,4,3,4,3,4,0.000000,0,0.000000
58,187,4,3,4,3,5,0.000000,0,0.000000
58,187,4,3,4,3,6,0.000000,0,0.000000
58,187,4,3,4,3,7,0.000000,0,0.000000
58,190,5,4,4,4,0,0.230262,1,0.000000
58,190,5,4,4,4,1,0.000000,0,0.000000
58,190,5,4,4,4,2,0.000000,0,0.000000
58,190,5,4,4,4,3,0.000000,0,0.000000
58,190,5,4,4,4,4,0.000000,0,0.000000
58,190,5,4,4,4,5,0.000000,0,0.000000
58,190,5,4,4,4,6,0.000000,0,0.000000
58,190,5,4,4,4,7,1.725081,1,0.000000
59,48,3,3,4,3,0,0.000000,0,0.000000
59,48,3,3,4,3,1,0.000000,0,0.000000
59,48,3,3,4,3,2,0.000000,0,0.000000
59,48,3,3,4,3,3,0.000000,0,0.000000
59,48,3,3,4,3,4,0.000000,0,0.000000
59,48,3,3,4,3,5,0.000000,0,0.000000
59,48,3,3,4,3,6,0.000000,0,0.000000
59,48,3,3,4,3,7,-1.970129,1,0.000000
59,48,5,3,3,4,0,0.000000,0,0.000000
59,48,5,3,3,4,1,1.226150,1,0.000000
59,48,5,3,3,4,2,0.000000,0,0.000000
59,48,5,3,3,4,3,0.000000,0,0.000000
59,48,5,3,3,4,4,0.000000,0,0.000000
59,48,5,3,3,4,5,0.000000,0,0.000000
59,48,5,3,3,4,6,0.000000,0,0.000000
59,48,5,3,3,4,7,0.000000,0,0.000000
59,50,3,3,4,3,0,-0.372704,1,0.000000
59,50,3,3,4,3,1,0.000000,0,0.000000
59,50,3,3,4,3,2,0.000000,0,0.000000
59,50,3,3,4,3,3,0.000000,0,0.000000
59,50,3,3,4,3,4,0.000000,0,0.000000
59,50,3,3,4,3,5,0.000000,0,0.000000
59,50,3,3,4,3,6,0.000000,0,0.000000
59,50,3,3,4,3,7,0.000000,0,0.000000
59,184,5,3,3,4,0,0.824691,1,0.000000
59,184,5,3,3,4,1,0.000000,0,0.000000
59,184,5,3,3,4,2,0.000000,0,0.000000
59,184,5,3,3,4,3,0.000000,0,0.000000
59,184,5,3,3,4,4,0.000000,0,0.000000
59,184,5,3,3,4,5,0.000000,0,0.000000
59,184,5,3,3,4,6,0.000000,0,0.000000
59,184,5,3,3,4,7,0.000000,0,0.000000
59,185,3,4,4,3,0,222.832877,2,0.000000
59,185,3,4,4,3,1,0.000000,0,0.000000
59,185,3,4,4,3,2,0.000000,0,0.000000
59,185,3,4,4,3,3,0.000000,0,0.000000
59,185,3,4,4,3,4,0.000000,0,0.000000
59,185,3,4,4,3,5,0.000000,0,0.000000
59,185,3,4,4,3,6,0.000000,0,0.000000
59,185,3,4,4,3,7,0.000000,0,0.000000
59,185,4,3,4,3,0,0.602775,1,0.000000
59,185,4,3,4,3,1,0.000000,0,0.000000
59,185,4,3,4,3,2,0.000000,0,0.000000
59,185,4,3,4,3,3,-2.693537,1,0.000000
59,185,4,3,4,3,4,0.000000,0,0.000000
59,185,4,3,4,3,5,0.000000,0,0.000000
59,185,4,3,4,3,6,0.000000,0,0.000000
59,185,4,3,4,3,7,0.000000,0,0.000000
59,186,0,4,4,4,0,0.530128,1,0.000000
59,186,0,4,4,4,1,0.000000,0,0.000000
59,186,0,4,4,4,2,0.000000,0,0.000000
59,186,0,4,4,4,3,0.000000,0,0.000000
59,186,0,4,4,4,4,0.000000,0,0.000000
59,186,0,4,4,4,5,0.000000,0,0.000000
59,186,0,4,4,4,6,0.000000,0,0.000000
59,186,0,4,4,4,7,0.000000,0,0.000000
59,186,4,4,4,3,0,0.427147,1,0.000000
59,186,4,4,4,3,1,0.000000,0,0.000000
59,186,4,4,4,3,2,0.000000,0,0.000000
59,186,4,4,4,3,3,0.000000,0,0.000000
59,186,4,4,4,3,4,0.000000,0,0.000000
59,186,4,4,4,3,5,0.000000,0,0.000000
59,186,4,4,4,3,6,0.000000,0,0.000000
59,186,4,4,4,3,7,0.000000,0,0.000000
59,186,5,3,4,4,0,1.020694,3,0.000000
59,186,5,3,4,4,1,0.000000,0,0.000000
59,186,5,3,4,4,2,0.000000,0,0.000000
59,186,5,3,4,4,3,0.000000,0,0.000000
59,186,5,3,4,4,4,0.000000,0,0.000000
59,186,5,3,4,4,5,0.000000,0,0.000000
59,186,5,3,4,4,6,0.000000,0,0.000000
59,186,5,3,4,4,7,0.000000,0,0.000000
59,187,0,4,4,4,0,0.296476,1,0.000000
59,187,0,4,4,4,1,0.000000,0,0.000000
59,187,0,4,4,4,2,0.000000,0,0.000000
59,187,0,4,4,4,3,0.000000,0,0.000000
59,187,0,4,4,4,4,0.000000,0,0.000000
59,187,0,4,4,4,5,0.000000,0,0.000000
59,187,0,4,4,4,6,0.000000,0,0.000000
59,187,0,4,4,4,7,0.000000,0,0.000000
59,187,5,4,4,4,0,0.000000,0,0.000000
59,187,5,4,4,4,1,0.000000,0,0.000000
59,187,5,4,4,4,2,0.000000,0,0.000000
59,187,5,4,4,4,3,0.000000,0,0.000000
59,187,5,4,4,4,4,-1.361630,1,0.000000
59,187,5,4,4,4,5,0.000000,0,0.000000
59,187,5,4,4,4,6,0.000000,0,0.000000
59,187,5,4,4,4,7,0.000000,0,0.000000
59,188,3,4,4,4,0,0.673358,1,0.000000
59,188,3,4,4,4,1,0.000000,0,0.000000
59,188,3,4,4,4,2,0.000000,0,0.000000
59,188,3,4,4,4,3,0.000000,0,0.000000
59,188,3,4,4,4,4,0.000000,0,0.000000
59,188,3,4,4,4,5,0.000000,0,0.000000
59,188,3,4,4,4,6,0.000000,0,0.000000
59,188,3,4,4,4,7,0.000000,0,0.000000
59,188,5,4,4,4,0,0.500960,2,0.000000
59,188,5,4,4,4,1,0.000000,0,0.000000
59,188,5,4,4,4,2,0.000000,0,0.000000
59,188,5,4,4,4,3,0.000000,0,0.000000
59,188,5,4,4,4,4,0.000000,0,0.000000
59,188,5,4,4,4,5,0.000000,0,0.000000
59,188,5,4,4,4,6,0.000000,0,0.000000
59,188,5,4,4,4,7,0.000000,0,0.000000
59,189,3,4,4,4,0,0.551126,1,0.000000
59,189,3,4,4,4,1,0.000000,0,0.000000
59,189,3,4,4,4,2,0.000000,0,0.000000
59,189,3,4,4,4,3,0.000000,0,0.000000
59,189,3,4,4,4,4,0.000000,0,0.000000
59,189,3,4,4,4,5,0.000000,0,0.000000
59,189,3,4,4,4,6,0.000000,0,0.000000
59,189,3,4,4,4,7,0.000000,0,0.000000
59,189,4,4,4,4,0,0.122995,1,0.000000
59,189,4,4,4,4,1,0.000000,0,0.000000
59,189,4,4,4,4,2,0.000000,0,0.000000
59,189,4,4,4,4,3,0.000000,0,0.000000
59,189,4,4,4,4,4,0.000000,0,0.000000
59,189,4,4,4,4,5,0.000000,0,0.000000
59,189,4,4,4,4,6,0.000000,0,0.000000
59,189,4,4,4,4,7,0.000000,0,0.000000
59,189,7,4,4,4,0,0.122995,1,0.000000
59,189,7,4,4,4,1,0.000000,0,0.000000
59,189,7,4,4,4,2,0.000000,0,0.000000
59,189,7,4,4,4,3,0.000000,0,0.000000
59,189,7,4,4,4,4,0.000000,0,0.000000
59,189,7,4,4,4,5,0.000000,0,0.000000
59,189,7,4,4,4,6,0.000000,0,0.000000
59,189,7,4,4,4,7,0.000000,0,0.000000
59,190,0,4,4,4,0,0.063041,1,0.000000
59,190,0,4,4,4,1,0.000000,0,0.000000
59,190,0,4,4,4,2,0.000000,0,0.000000
59,190,0,4,4,4,3,0.000000,0,0.000000
59,190,0,4,4,4,4,0.000000,0,0.000000
59,190,0,4,4,4,5,0.000000,0,0.000000
59,190,0,4,4,4,6,0.000000,0,0.000000
59,190,0,4,4,4,7,0.000000,0,0.000000
59,190,3,4,4,4,0,0.100866,2,0.000000
59,190,3,4,4,4,1,0.000000,0,0.000000
59,190,3,4,4,4,2,0.000000,0,0.000000
59,190,3,4,4,4,3,0.000000,0,0.000000
59,190,3,4,4,4,4,0.000000,0,0.000000
59,190,3,4,4,4,5,0.000000,0,0.000000
59,190,3,4,4,4,6,0.000000,0,0.000000
59,190,3,4,4,4,7,0.000000,0,0.000000
59,191,4,4,4,4,0,0.015354,1,0.000000
59,191,4,4,4,4,1,0.000000,0,0.000000
59,191,4,4,4,4,2,0.000000,0,0.000000
59,191,4,4,4,4,3,0.000000,0,0.000000
59,191,4,4,4,4,4,0.000000,0,0.000000
59,191,4,4,4,4,5,0.000000,0,0.000000
59,191,4,4,4,4,6,0.000000,0,0.000000
59,191,4,4,4,4,7,0.000000,0,0.000000
59,191,5,4,4,4,0,0.000000,0,0.000000
59,191,5,4,4,4,1,0.000000,0,0.000000
59,191,5,4,4,4,2,0.000000,0,0.000000
59,191,5,4,4,4,3,0.000000,0,0.000000
59,191,5,4,4,4,4,0.000000,0,0.000000
59,191,5,4,4,4,5,0.782808,2,0.000000
59,191,5,4,4,4,6,0.000000,0,0.000000
59,191,5,4,4,4,7,0.000000,0,0.000000
60,47,5,3,3,3,0,0.000000,0,0.000000
60,47,5,3,3,3,1,0.000000,0,0.000000
60,47,5,3,3,3,2,0.000000,0,0.000000
60,47,5,3,3,3,3,1.110992,1,0.000000
60,47,5,3,3,3,4,0.000000,0,0.000000
60,47,5,3,3,3,5,0.000000,0,0.000000
60,47,5,3,3,3,6,0.000000,0,0.000000
60,47,5,3,3,3,7,0.000000,0,0.000000
60,47,7,3,3,4,0,-0.384275,1,0.000000
60,47,7,3,3,4,1,0.000000,0,0.000000
60,47,7,3,3,4,2,0.000000,0,0.000000
60,47,7,3,3,4,3,0.000000,0,0.000000
60,47,7,3,3,4,4,0.000000,0,0.000000
60,47,7,3,3,4,5,0.000000,0,0.000000
60,47,7,3,3,4,6,0.000000,0,0.000000
60,47,7,3,3,4,7,0.000000,0,0.000000
60,49,1,4,4,4,0,0.000000,0,0.000000
60,49,1,4,4,4,1,0.000000,0,0.000000
60,49,1,4,4,4,2,0.000000,0,0.000000
60,49,1,4,4,4,3,1.111270,1,0.000000
60,49,1,4,4,4,4,0.000000,0,0.000000
60,49,1,4,4,4,5,0.000000,0,0.000000
60,49,1,4,4,4,6,0.000000,0,0.000000
60,49,1,4,4,4,7,0.000000,0,0.000000
60,49,4,3,3,3,0,0.000000,0,0.000000
60,49,4,3,3,3,1,0.000000,0,0.000000
60,49,4,3,3,3,2,0.000000,0,0.000000
60,49,4,3,3,3,3,0.000000,0,0.000000
60,49,4,3,3,3,4,0.000000,0,0.000000
60,49,4,3,3,3,5,-2.095930,1,0.000000
